"Path","LineNumber","Pattern","Line"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","134","rgb\(","                                            <div className=""w-2 h-2 rounded-full bg-current"" style={{ color: status.color.replace(""text-"", ""rgb(var(--"") }} />"
"C:\tac-saas\tac-cargo\app\globals.css","80","oklch\(","  --background: oklch(0.9821 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","81","oklch\(","  --foreground: oklch(0.3211 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","82","oklch\(","  --card: oklch(1.0000 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","83","oklch\(","  --card-foreground: oklch(0.3211 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","84","oklch\(","  --popover: oklch(1.0000 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","85","oklch\(","  --popover-foreground: oklch(0.3211 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","86","oklch\(","  --primary: oklch(0.5676 0.2021 283.0838);"
"C:\tac-saas\tac-cargo\app\globals.css","87","oklch\(","  --primary-foreground: oklch(1.0000 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","88","oklch\(","  --secondary: oklch(0.8214 0.0720 249.3482);"
"C:\tac-saas\tac-cargo\app\globals.css","89","oklch\(","  --secondary-foreground: oklch(0.3211 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","90","oklch\(","  --muted: oklch(0.8202 0.0213 91.6163);"
"C:\tac-saas\tac-cargo\app\globals.css","91","oklch\(","  --muted-foreground: oklch(0.5382 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","92","oklch\(","  --accent: oklch(0.6475 0.0642 117.4260);"
"C:\tac-saas\tac-cargo\app\globals.css","93","oklch\(","  --accent-foreground: oklch(1.0000 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","94","oklch\(","  --destructive: oklch(0.6368 0.2078 25.3313);"
"C:\tac-saas\tac-cargo\app\globals.css","95","oklch\(","  --destructive-foreground: oklch(1.0000 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","96","oklch\(","  --border: oklch(0.8699 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","97","oklch\(","  --input: oklch(0.8699 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","98","oklch\(","  --ring: oklch(0.5676 0.2021 283.0838);"
"C:\tac-saas\tac-cargo\app\globals.css","99","oklch\(","  --chart-1: oklch(0.5676 0.2021 283.0838);"
"C:\tac-saas\tac-cargo\app\globals.css","100","oklch\(","  --chart-2: oklch(0.5261 0.1705 314.6534);"
"C:\tac-saas\tac-cargo\app\globals.css","101","oklch\(","  --chart-3: oklch(0.3390 0.1793 301.6848);"
"C:\tac-saas\tac-cargo\app\globals.css","102","oklch\(","  --chart-4: oklch(0.6746 0.1414 261.3380);"
"C:\tac-saas\tac-cargo\app\globals.css","103","oklch\(","  --chart-5: oklch(0.5880 0.0993 245.7394);"
"C:\tac-saas\tac-cargo\app\globals.css","104","oklch\(","  --sidebar: oklch(0.9821 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","105","oklch\(","  --sidebar-foreground: oklch(0.3211 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","106","oklch\(","  --sidebar-primary: oklch(0.5676 0.2021 283.0838);"
"C:\tac-saas\tac-cargo\app\globals.css","107","oklch\(","  --sidebar-primary-foreground: oklch(1.0000 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","108","oklch\(","  --sidebar-accent: oklch(0.6475 0.0642 117.4260);"
"C:\tac-saas\tac-cargo\app\globals.css","109","oklch\(","  --sidebar-accent-foreground: oklch(1.0000 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","110","oklch\(","  --sidebar-border: oklch(0.8699 0 0);"
"C:\tac-saas\tac-cargo\app\globals.css","111","oklch\(","  --sidebar-ring: oklch(0.5676 0.2021 283.0838);"
