"Path","LineNumber","Pattern","Line"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-cards.tsx","21","bg-\[[^\]]+\]","            <div className=""absolute inset-0 bg-[url('https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=1000&q=80')] bg-cover bg-center opacity-40 mix-blend-lighten grayscale group-hover:grayscale-0 transition-all duration-700""></div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-cards.tsx","122","text-\[[^\]]+\]","                <div className=""text-[10px] text-muted-foreground mt-1 text-right"">70% Capacity</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-cards.tsx","138","text-\[[^\]]+\]","                    <span className=""text-[10px] text-muted-foreground font-mono"">2m ago</span>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-cards.tsx","141","text-\[[^\]]+\]","                    <div className=""w-6 h-6 rounded-full bg-blue-500/10 border border-blue-500/20 flex items-center justify-center text-[10px] text-blue-400 font-mono"">SYS</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-cards.tsx","145","text-\[[^\]]+\]","                    <span className=""text-[10px] text-muted-foreground font-mono"">5m ago</span>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","142","text-\[[^\]]+\]","                                            <div className=""text-[10px] text-muted-foreground"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","231","text-\[[^\]]+\]","                <div className=""text-[10px] text-muted-foreground mt-1"">{subtitle}</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","254","text-\[[^\]]+\]","            <div className=""text-[10px] text-muted-foreground uppercase tracking-wider"">{label}</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\v2-header.tsx","24","text-\[[^\]]+\]","                        <span className=""text-[9px] border border-border rounded px-1 py-0.5 text-muted-foreground font-mono flex items-center justify-center"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\v2-header.tsx","27","text-\[[^\]]+\]","                        <span className=""text-[9px] border border-border rounded px-1 py-0.5 text-muted-foreground font-mono"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\v2-sidebar.tsx","50","text-\[[^\]]+\]","                <span className=""ml-auto text-[9px] bg-muted text-muted-foreground px-1.5 py-0.5 rounded border border-border group-hover:border-primary/40 transition-colors"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\v2-sidebar.tsx","83","text-\[[^\]]+\]","                        <span className=""text-[9px] text-muted-foreground font-mono mt-0.5 tracking-widest"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\v2-sidebar.tsx","94","text-\[[^\]]+\]","                    <h3 className=""px-3 text-[10px] uppercase tracking-widest text-muted-foreground font-bold mb-2"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\v2-sidebar.tsx","113","text-\[[^\]]+\]","                    <h3 className=""px-3 text-[10px] uppercase tracking-widest text-muted-foreground font-bold mb-2"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\v2-sidebar.tsx","165","text-\[[^\]]+\]","                    <h3 className=""px-3 text-[10px] uppercase tracking-widest text-muted-foreground font-bold mb-2"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\v2-sidebar.tsx","188","text-\[[^\]]+\]","                    <h3 className=""px-3 text-[10px] uppercase tracking-widest text-muted-foreground font-bold mb-2"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\v2-sidebar.tsx","234","text-\[[^\]]+\]","                        <span className=""text-[10px] text-muted-foreground truncate"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\analytics\_components\analytics-client.tsx","59","text-white","                    color=""text-white"" "
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\analytics\_components\analytics-client.tsx","119","text-\[[^\]]+\]","                                        <div className=""absolute -top-8 left-1/2 -translate-x-1/2 hidden group-hover:block bg-card border border-border px-2 py-1 rounded text-[10px] text-foreground whitespace-nowrap z-10"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\analytics\_components\analytics-client.tsx","129","text-\[[^\]]+\]","                    <div className=""flex justify-between text-[10px] text-muted-foreground mt-2"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\analytics\_components\analytics-client.tsx","152","text-\[[^\]]+\]","                                        <div className=""absolute -top-8 left-1/2 -translate-x-1/2 hidden group-hover:block bg-card border border-border px-2 py-1 rounded text-[10px] text-foreground whitespace-nowrap z-10"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\analytics\_components\analytics-client.tsx","162","text-\[[^\]]+\]","                    <div className=""flex justify-between text-[10px] text-muted-foreground mt-2"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\analytics\_components\analytics-client.tsx","220","text-\[[^\]]+\]","            <div className=""text-[10px] text-muted-foreground uppercase tracking-wider mt-1"">{label}</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\analytics\_components\analytics-client.tsx","261","text-\[[^\]]+\]","            <div className=""flex justify-between text-[10px] text-muted-foreground mt-1"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\customers\_components\customers-client.tsx","99","text-white","                <StatCard label=""Total Customers"" value={stats.total} color=""text-white"" />"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\customers\_components\customers-client.tsx","233","text-\[[^\]]+\]","            <div className=""text-[10px] text-muted-foreground uppercase tracking-wider mt-1"">{label}</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\exceptions\_components\exceptions-client.tsx","87","text-\[[^\]]+\]","                            <div className=""text-[10px] text-muted-foreground uppercase"">Failed Deliveries</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\exceptions\_components\exceptions-client.tsx","98","text-\[[^\]]+\]","                            <div className=""text-[10px] text-muted-foreground uppercase"">Delayed Shipments</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\exceptions\_components\exceptions-client.tsx","109","text-\[[^\]]+\]","                            <div className=""text-[10px] text-muted-foreground uppercase"">Total Exceptions</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\exceptions\_components\exceptions-client.tsx","149","text-\[[^\]]+\]","                                            ""text-[10px] font-mono px-1 rounded"","
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\exceptions\_components\exceptions-client.tsx","156","text-\[[^\]]+\]","                                            ""text-[10px]"","
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\exceptions\_components\exceptions-client.tsx","206","text-\[[^\]]+\]","                                    <div className=""text-[10px] uppercase text-muted-foreground font-bold tracking-wider mb-1"">"
