"Path","LineNumber","Pattern","Line"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-cards.tsx","27","bg-emerald-","                    <span className=""w-1.5 h-1.5 rounded-full bg-emerald-500 animate-pulse""></span>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-cards.tsx","61","text-emerald-","                <span className=""text-xs text-emerald-400 bg-emerald-500/10 px-2 py-0.5 rounded border border-emerald-500/20"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-cards.tsx","141","text-blue-","                    <div className=""w-6 h-6 rounded-full bg-blue-500/10 border border-blue-500/20 flex items-center justify-center text-[10px] text-blue-400 font-mono"">SYS</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-cards.tsx","157","bg-blue-","                <div className=""w-10 h-10 rounded bg-blue-500/20 flex items-center justify-center"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-cards.tsx","158","text-blue-","                    <CloudRain className=""text-blue-300 w-5 h-5"" />"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-cards.tsx","166","text-blue-","                <div className=""text-xs font-mono text-blue-300 border border-blue-500/30 px-2 py-1 rounded bg-blue-500/10"">ALERT-99</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","106","text-emerald-","                <MiniStatCard label=""Delivered"" value={stats.shipments.delivered} color=""text-emerald-400"" />"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","107","text-red-","                <MiniStatCard label=""Failed"" value={stats.shipments.failed} color=""text-red-400"" highlight={stats.shipments.failed > 0} />"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","108","text-orange-","                <MiniStatCard label=""Delayed"" value={stats.shipments.delayed} color=""text-orange-400"" highlight={stats.shipments.delayed > 0} />"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","171","bg-orange-","                <GlassPanel className=""p-4 border-orange-500/30 bg-orange-500/5"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","173","text-orange-","                        <AlertCircle className=""w-5 h-5 text-orange-400"" />"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","180","text-orange-","                                <Link href=""/dashboard/tracking"" className=""text-orange-400 text-xs hover:underline"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","188","text-orange-","                                <Link href=""/dashboard/exceptions"" className=""text-orange-400 text-xs hover:underline"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","221","bg-orange-","                highlight && ""border-orange-500/30 bg-orange-500/5"""
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","224","bg-orange-","                    <div className={cn(""p-2 rounded-lg"", highlight ? ""bg-orange-500/10"" : ""bg-muted"")}>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\_components\overview-client.tsx","251","bg-orange-","            highlight && ""border-orange-500/30 bg-orange-500/5"""
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\analytics\_components\analytics-client.tsx","96","text-emerald-","                    color=""text-emerald-400"""
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\customers\_components\customers-client.tsx","66","text-blue-","    corporate: { label: ""Corporate"", color: ""text-blue-400"", icon: Building2, gradient: ""from-blue-500 to-cyan-400"" },"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\customers\_components\customers-client.tsx","67","text-amber-","    vip: { label: ""VIP"", color: ""text-amber-400"", icon: Crown, gradient: ""from-amber-500 to-orange-400"" },"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\customers\_components\customers-client.tsx","100","text-amber-","                <StatCard label=""VIP"" value={stats.vip} color=""text-amber-400"" />"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\customers\_components\customers-client.tsx","101","text-blue-","                <StatCard label=""Corporate"" value={stats.corporate} color=""text-blue-400"" />"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\exceptions\_components\exceptions-client.tsx","38","text-amber-","    delayed: { label: ""Delayed"", color: ""text-amber-400"", bgColor: ""bg-amber-500/10"", icon: Clock },"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\exceptions\_components\exceptions-client.tsx","93","bg-amber-","                        <div className=""p-2 rounded-lg bg-amber-500/10"">"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\exceptions\_components\exceptions-client.tsx","94","text-amber-","                            <Clock className=""w-5 h-5 text-amber-400"" />"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\exceptions\_components\exceptions-client.tsx","97","text-amber-","                            <div className=""text-xl font-bold text-amber-400"">{delayedCount}</div>"
"C:\tac-saas\tac-cargo\app\(dashboard)\dashboard\exceptions\_components\exceptions-client.tsx","117","text-emerald-","                    <CheckCircle className=""w-12 h-12 mx-auto mb-4 text-emerald-400"" />"
